path,datetime,type,burst
2024-07-02/UMICH_20240702_063000_59.fit,2024-07-02 06:30:00,0,0
2024-07-02/UMICH_20240702_064500_59.fit,2024-07-02 06:45:00,0,0
2024-07-02/UMICH_20240702_070000_59.fit,2024-07-02 07:00:00,0,0
2024-07-02/UMICH_20240702_071500_59.fit,2024-07-02 07:15:00,0,0
2024-07-02/UMICH_20240702_073000_59.fit,2024-07-02 07:30:00,0,0
2024-07-02/UMICH_20240702_074500_59.fit,2024-07-02 07:45:00,0,0
2024-07-02/UMICH_20240702_080000_59.fit,2024-07-02 08:00:00,0,0
2024-07-02/UMICH_20240702_081500_59.fit,2024-07-02 08:15:00,0,0
2024-07-02/UMICH_20240702_083000_59.fit,2024-07-02 08:30:00,0,0
2024-07-02/UMICH_20240702_084500_59.fit,2024-07-02 08:45:00,0,0
2024-07-02/UMICH_20240702_090000_59.fit,2024-07-02 09:00:00,0,0
2024-07-02/UMICH_20240702_091500_59.fit,2024-07-02 09:15:00,0,0
2024-07-02/UMICH_20240702_093000_59.fit,2024-07-02 09:30:00,0,0
2024-07-02/UMICH_20240702_094500_59.fit,2024-07-02 09:45:00,0,0
2024-07-02/UMICH_20240702_100000_59.fit,2024-07-02 10:00:00,0,0
2024-07-02/UMICH_20240702_101500_59.fit,2024-07-02 10:15:00,0,0
2024-07-02/UMICH_20240702_103000_59.fit,2024-07-02 10:30:00,0,0
2024-07-02/UMICH_20240702_104459_59.fit,2024-07-02 10:44:59,0,0
2024-07-02/UMICH_20240702_105959_59.fit,2024-07-02 10:59:59,0,0
2024-07-02/UMICH_20240702_111459_59.fit,2024-07-02 11:14:59,0,0
2024-07-02/UMICH_20240702_112959_59.fit,2024-07-02 11:29:59,0,0
2024-07-02/UMICH_20240702_114459_59.fit,2024-07-02 11:44:59,0,0
2024-07-02/UMICH_20240702_115959_59.fit,2024-07-02 11:59:59,0,0
2024-07-02/UMICH_20240702_121459_59.fit,2024-07-02 12:14:59,0,0
2024-07-02/UMICH_20240702_121939_59.fit,2024-07-02 12:19:39,0,0
2024-07-02/Beelink1_20240702_122200_59.fit,2024-07-02 12:22:00,0,0
2024-07-02/Beelink1_20240702_123000_59.fit,2024-07-02 12:30:00,0,0
2024-07-02/Beelink1_20240702_124500_59.fit,2024-07-02 12:45:00,0,0
2024-07-02/Beelink1_20240702_130000_59.fit,2024-07-02 13:00:00,0,0
2024-07-02/Beelink1_20240702_131500_59.fit,2024-07-02 13:15:00,0,0
2024-07-02/Beelink1_20240702_133000_59.fit,2024-07-02 13:30:00,0,0
2024-07-02/Beelink1_20240702_134500_59.fit,2024-07-02 13:45:00,0,0
2024-07-02/Beelink1_20240702_140000_59.fit,2024-07-02 14:00:00,0,0
2024-07-02/Beelink1_20240702_141500_59.fit,2024-07-02 14:15:00,0,0
2024-07-02/Beelink1_20240702_143000_59.fit,2024-07-02 14:30:00,0,0
2024-07-02/Beelink1_20240702_144500_59.fit,2024-07-02 14:45:00,0,0
2024-07-02/Beelink1_20240702_150000_59.fit,2024-07-02 15:00:00,0,0
2024-07-02/Beelink1_20240702_151500_59.fit,2024-07-02 15:15:00,0,0
